Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Latitude,Longitude,Airport.Code,Airport.Name,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Schedule,Purpose.of.flight,Air.carrier,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Publication.Date
20020917X04422,Incident,CHI82IA331,1982-09-01,"APPLETON, WI",United States,,,ATW,OUTAGAMIE CO. A/P,Incident,Minor,Airplane,N261S,Swearingen,SA-226TC,No,2.0,Turbo Prop,Part 91: General Aviation,,Unknown,,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,01-09-1983
20020917X04971,Incident,MKC82IA169,1982-09-07,"ST. LOUIS, MO",United States,,,,,Incident,Minor,Airplane,N6868D,Cessna,421C,No,2.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,3.0,IMC,Cruise,Probable Cause,07-09-1983
20020917X04526,Incident,DEN82IA192,1982-09-13,"DENVER, CO",United States,,,DEN,STAPLETON INTERNATIONAL,Incident,Minor,Airplane,N5471M,Fairchild/swearingen,SA226TC,No,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,NSCH,Unknown,Air Midwest,0.0,0.0,0.0,5.0,VMC,Other,Probable Cause,13-09-1983
20020917X04286,Incident,ATL82IA281,1982-09-15,"MONTGOMERY, AL",United States,,,,DANNELLY FIELD,Incident,Minor,Airplane,N220HB,Piper,PA-34-22OT,No,2.0,Reciprocating,Part 91: General Aviation,,Business,,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,15-09-1983
20020917X04423,Incident,CHI82IA364B,1982-09-23,"PONTIAC, MI",United States,,,PTK,OAKLAND-PONTIAC,Incident,Minor,Airplane,N4745B,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,3.0,VMC,Takeoff,Probable Cause,23-09-1983
20020917X04423,Incident,CHI82IA364A,1982-09-23,"PONTIAC, MI",United States,,,PTK,OAKLAND-PONTIAC,Incident,Minor,Airplane,N24236,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,3.0,VMC,Takeoff,Probable Cause,23-09-1983
20020917X04217,Incident,ANC82IA103,1982-09-30,"KENAI, AK",United States,,,ENA,KENAI AIRPORT,Incident,Minor,Airplane,N61366,Piper,PA31-350,No,2.0,Reciprocating,Part 135: Air Taxi & Commuter,SCHD,Unknown,Southcentral Air Inc.,0.0,0.0,0.0,7.0,VMC,Approach,Probable Cause,30-09-1983
20020917X04223,Incident,ANC83IA001,1982-10-02,"NEAR PORT HEIDE, AK",United States,,,,,Incident,Minor,Airplane,N4025W,Piper,PA-32-300,No,1.0,Reciprocating,Part 91: General Aviation,,Business,,0.0,0.0,0.0,1.0,VMC,Taxi,Probable Cause,02-10-1983
20020917X04495,Incident,DCA83IA002,1982-10-18,"HOUSTON, TX",United States,,,HOU,HOUSTON INTERNATIONAL,Incident,Minor,Airplane,N536TX,Douglas,DC-9-30,No,2.0,Turbo Fan,Part 121: Air Carrier,SCHD,Unknown,Texas International,0.0,0.0,0.0,65.0,VMC,Takeoff,Probable Cause,18-10-1983
20020917X05072,Incident,NYC83IA013B,1982-10-25,"AUGUSTA, ME",United States,,,AUG,AUGUSTA,Incident,Minor,Airplane,N5742T,Cessna,172E,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,4.0,VMC,Taxi,Probable Cause,25-10-1983
20020917X05072,Incident,NYC83IA013A,1982-10-25,"AUGUSTA, ME",United States,,,AUG,AUGUSTA,Incident,Minor,Airplane,N25973,Piper,J3C-65,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,4.0,VMC,Taxi,Probable Cause,25-10-1983
20020917X04224,Incident,ANC83IA007,1982-10-26,"HOMER, AK",United States,,,5BL,BELUGA LAKE SEAPLANE,Incident,Minor,Airplane,N3904,De Havilland,DHC-3,No,1.0,Reciprocating,Part 91: General Aviation,,Ferry,,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,26-10-1983
